model,params,top1_accuracy,macro_recall@1,macro_f1@1,top3_accuracy,macro_recall@3,macro_f1@3,top5_accuracy,macro_recall@5,macro_f1@5
tfidf_svm,"{""C"": 1.0, ""char_ngram"": [3, 5], ""class_weight"": ""balanced"", ""max_features"": 200000, ""min_df"": 2, ""word_ngram"": [1, 2]}",0.20469220691994122,0.20494141775261046,0.20234145295482697,0.3518955691362376,0.35240995967341676,0.1787058509209314,0.43771321412184044,0.43825797698313296,0.15028446275372356
tfidf_svm,"{""C"": 2.0, ""char_ngram"": [3, 6], ""class_weight"": ""balanced"", ""max_features"": 300000, ""min_df"": 2, ""word_ngram"": [1, 3]}",0.1951029745240296,0.19534328631951522,0.19402282718430916,0.3399722031959675,0.34047455885450223,0.17322923897312092,0.4257366485566277,0.4262626218693659,0.1460296969736921
tfidf_logreg,"{""C"": 2.0, ""char_ngram"": [3, 5], ""max_features"": 200000, ""min_df"": 2, ""word_ngram"": [1, 2]}",0.23081322276677949,0.2310022606537895,0.22839637035814903,0.4085997193719784,0.40907356210437124,0.2086245823258597,0.5093598090133464,0.5098191679746472,0.1769185663587678
tfidf_logreg,"{""C"": 4.0, ""char_ngram"": [3, 6], ""max_features"": 300000, ""min_df"": 2, ""word_ngram"": [1, 3]}",0.22193553535447574,0.2221398954243472,0.2209564732013298,0.3961310572760462,0.3966097792333795,0.203125180857241,0.4953018081222527,0.495792135348255,0.172409630674047
tfidf_nb,"{""alpha"": 0.5, ""char_ngram"": [3, 5], ""max_features"": 200000, ""min_df"": 2, ""word_ngram"": [1, 2]}",0.21888320687339155,0.2188799488489679,0.21026403982518063,0.4023487634412177,0.40255049836994516,0.2035161862919257,0.5067929271098639,0.5068755692543032,0.17596885347730903
tfidf_nb,"{""alpha"": 1.0, ""char_ngram"": [3, 6], ""max_features"": 300000, ""min_df"": 2, ""word_ngram"": [1, 3]}",0.21339034559806352,0.21331690432720612,0.2024202154413153,0.39398977237210475,0.394122352307757,0.19891575810333925,0.4960798526370389,0.49609651851442493,0.17301174622934765
fasttext,"{""batch_size"": 128, ""dropout"": 0.2, ""embed_dim"": 100, ""epochs"": 5, ""lr"": 0.001, ""max_n"": 6, ""max_ngrams"": 2000, ""max_words"": 200, ""min_n"": 3, ""num_buckets"": 200000}",0.2112291108347686,0.21140097019659987,0.20402774083366648,0.3934910258882675,0.3939742261100218,0.1970264993802041,0.49668499837076147,0.497088124004819,0.16975526293640372
fasttext,"{""batch_size"": 128, ""dropout"": 0.3, ""embed_dim"": 200, ""epochs"": 6, ""lr"": 0.0005, ""max_n"": 6, ""max_ngrams"": 3000, ""max_words"": 200, ""min_n"": 3, ""num_buckets"": 300000}",0.2099855696017343,0.21013821144644385,0.20143250138896346,0.391549239577861,0.3919927075206174,0.19577488837035562,0.4977955405414392,0.49815674989707603,0.1701338564738489
cnn,"{""batch_size"": 128, ""dropout"": 0.5, ""embed_dim"": 100, ""epochs"": 5, ""filter_sizes"": [3, 4, 5], ""lr"": 0.001, ""max_len"": 200, ""num_filters"": 100}",0.1942052308531225,0.1942067803605877,0.18567110720994232,0.3680416553063301,0.3686818342269118,0.18642389050640154,0.47026473463362084,0.4708367297584441,0.1645590571522101
cnn,"{""batch_size"": 128, ""dropout"": 0.5, ""embed_dim"": 200, ""epochs"": 6, ""filter_sizes"": [3, 4, 5], ""lr"": 0.0005, ""max_len"": 200, ""num_filters"": 128}",0.20152017928273605,0.2017236516657064,0.19762331904376076,0.37472485818974977,0.37533490035661765,0.193947842089853,0.4771607360168111,0.47772078911680316,0.17045579253537022
bilstm,"{""batch_size"": 128, ""dropout"": 0.4, ""embed_dim"": 100, ""epochs"": 6, ""hidden_size"": 128, ""lr"": 0.001, ""max_len"": 200, ""rnn_type"": ""lstm""}",0.21180100680290204,0.2120886660755985,0.20413813785010299,0.39064484595383603,0.39125511679308134,0.19875299951279493,0.4923957786097608,0.492946047009195,0.17266257426193546
bigru,"{""batch_size"": 128, ""dropout"": 0.4, ""embed_dim"": 100, ""epochs"": 6, ""hidden_size"": 128, ""lr"": 0.001, ""max_len"": 200, ""rnn_type"": ""gru""}",0.21288494916110842,0.2131914064395027,0.2062635711498061,0.3912898914062656,0.39188230142766384,0.19995890811998432,0.49415136623286804,0.4946331017575959,0.17434175851927441
transformer,"{""batch_size"": 32, ""epochs"": 3, ""lr"": 2e-05, ""max_len"": 128, ""model_name"": ""distilbert-base-uncased""}",0.25444715614754915,0.2546586659694535,0.24854207086863447,0.4531477553083251,0.45368681707735764,0.23188669940044535,0.5588421101631234,0.5592972053407416,0.196378090205884
